date,temp,accX,accY,accZ,din
,,x,y,z,
11/1/2018 8:24,15.9,-0.038,-0.02,0.954,0
11/1/2018 8:25,15.8,-0.038,-0.019,0.954,0
11/1/2018 8:25,15.3,0.946,0,0.134,0
11/1/2018 8:26,15,0.947,0,0.132,0
11/1/2018 8:26,14.9,0.962,0.014,0.077,0
11/1/2018 8:26,15,-0.036,-0.021,0.954,0
11/1/2018 8:26,15,-0.036,-0.022,0.954,0
11/1/2018 8:27,23.5,-0.025,-0.029,0.953,12
11/1/2018 8:27,24.5,-0.038,-0.028,0.949,0
11/1/2018 8:28,56.5,-0.033,-0.029,0.981,0
11/1/2018 8:29,28,-0.04,-0.027,0.965,0
11/1/2018 8:29,25.8,-0.03,-0.046,1.022,0
11/1/2018 8:30,24.7,-0.032,-0.029,0.944,0
11/1/2018 8:30,24.7,0.961,0.003,0.022,0
11/1/2018 8:30,23.4,0.962,0.003,0.017,0
11/1/2018 8:31,20.3,0.96,0.003,0.014,0
11/1/2018 8:31,20.6,0.961,0.005,0.026,0
11/1/2018 8:32,20.8,-0.035,-0.015,0.953,0
11/1/2018 8:32,18.9,-0.035,-0.013,0.956,0
11/1/2018 8:32,18.6,-0.039,-0.013,0.952,20
11/1/2018 8:33,18.8,-0.041,-0.012,0.948,0
11/1/2018 8:34,18.6,-0.044,-0.012,0.948,0
11/1/2018 8:34,18.3,-0.045,-0.011,0.994,0
11/1/2018 8:35,18.2,-0.045,-0.03,1.13,0
11/1/2018 8:37,17.6,-0.044,-0.026,1.049,0
11/1/2018 8:37,26.5,-0.047,-0.03,1.025,0
11/1/2018 8:37,26.8,-0.033,-0.026,0.948,0
11/1/2018 8:38,57.3,-0.038,-0.019,0.953,0
11/1/2018 8:40,26.3,-0.037,-0.017,0.951,0
11/1/2018 8:41,22.3,-0.041,-0.014,0.95,0
11/1/2018 8:42,21.3,-0.038,-0.019,0.958,0
11/1/2018 8:42,20,-0.039,-0.018,0.956,0
11/1/2018 8:42,19,0.94,0.007,0.163,4
11/1/2018 8:43,19,0.937,0.006,0.166,0
11/1/2018 8:43,18.7,-0.05,-0.012,0.938,0
11/1/2018 8:45,17.3,-0.047,-0.01,0.953,0
11/1/2018 8:45,16.9,-0.041,-0.013,0.951,0
11/1/2018 8:46,15.8,-0.038,-0.01,0.944,0
11/1/2018 8:46,20.9,-0.039,-0.02,0.993,0
11/1/2018 8:47,51.6,-0.038,-0.016,0.952,0
11/1/2018 8:48,57.3,-0.039,-0.017,0.953,0
11/1/2018 8:48,59.3,-0.04,-0.017,0.951,0
11/1/2018 8:48,55.5,-0.041,-0.014,0.954,0
11/1/2018 8:49,39.8,-0.038,0.003,0.947,0
11/1/2018 8:49,34.3,-0.04,-0.014,0.955,0
11/1/2018 8:50,28.1,-0.069,0.023,0.926,0
11/1/2018 8:56,19.7,-0.038,-0.024,0.951,0
11/1/2018 8:57,19.2,-0.037,-0.014,0.957,0
11/1/2018 8:57,17.9,-0.022,-0.021,0.968,8
11/1/2018 8:59,17.1,-0.044,-0.01,0.951,4
11/1/2018 9:01,15.9,-0.039,-0.013,0.955,0
11/1/2018 9:04,26.6,-0.044,-0.011,0.954,0
11/1/2018 9:05,28.1,-0.043,-0.011,0.955,0
11/1/2018 9:05,28.1,0.947,0.007,0.108,16
11/1/2018 9:07,55.4,0.947,0.006,0.108,0
11/1/2018 9:09,41.4,0.948,0.001,0.108,0
11/1/2018 9:09,39.7,0.945,0.005,0.103,0
11/1/2018 9:09,37.3,0.943,0.007,0.104,0
11/1/2018 9:10,33.4,-0.035,-0.02,0.955,8
11/1/2018 9:11,28.1,-0.043,-0.02,0.944,0
11/1/2018 9:11,28.2,-0.043,-0.02,0.947,0
11/1/2018 9:13,22.8,-0.042,-0.018,0.948,0
11/1/2018 9:15,21.2,-0.043,-0.019,0.946,0
11/1/2018 9:16,19.4,-0.047,-0.018,0.968,0
11/1/2018 9:16,19.4,-0.038,-0.018,0.959,0
11/1/2018 9:18,19.1,-0.036,-0.024,0.928,0
11/1/2018 9:19,19,-0.042,-0.013,0.962,0
11/1/2018 9:20,18.9,-0.039,-0.031,1.11,0
11/1/2018 9:20,18.8,-0.041,-0.033,1.051,0
11/1/2018 9:20,18.6,-0.038,-0.031,1.013,0
11/1/2018 9:20,18.8,-0.021,-0.03,0.99,0
11/1/2018 9:21,19,-0.033,-0.033,0.931,0
11/1/2018 9:22,18.4,-0.036,-0.02,0.931,0
11/1/2018 9:23,18,-0.039,-0.022,0.949,0
11/1/2018 9:23,18.1,-0.039,-0.018,0.946,0
11/1/2018 9:24,18.1,0.953,0.002,0.104,0
11/1/2018 9:24,18.2,0.952,0.003,0.107,0
11/1/2018 9:24,18.3,0.951,0.009,0.11,0
11/1/2018 9:25,18.6,-0.034,-0.016,0.946,0
11/1/2018 9:25,19.5,-0.049,-0.016,0.95,0
11/1/2018 9:26,27.7,-0.04,-0.014,0.952,0
11/1/2018 9:26,28.1,-0.044,-0.012,0.953,0
11/1/2018 9:26,28.3,-0.038,-0.016,0.95,0
11/1/2018 9:27,44.6,-0.041,-0.018,0.952,8
11/1/2018 9:27,54.8,-0.042,-0.017,0.949,0
11/1/2018 9:27,55.9,-0.04,-0.014,0.951,0
11/1/2018 9:28,58,-0.042,-0.02,0.953,0
11/1/2018 9:28,44,-0.044,-0.017,0.954,0
11/1/2018 9:29,35.6,-0.041,-0.017,0.951,0
11/1/2018 9:29,30.8,-0.043,-0.015,0.95,0
11/1/2018 9:30,26,-0.039,-0.017,0.948,0
11/1/2018 9:32,21.8,-0.037,-0.005,0.968,0
11/1/2018 9:32,21.7,-0.03,-0.01,0.963,0
11/1/2018 9:33,20.6,-0.057,-0.033,1.174,0
11/1/2018 9:35,18.3,-0.045,-0.029,0.999,0
11/1/2018 9:35,18,-0.04,-0.028,1.006,0
11/1/2018 9:36,17.5,-0.045,-0.03,0.991,0
11/1/2018 9:36,17.5,-0.022,-0.032,1.025,0
11/1/2018 9:36,17.9,-0.038,-0.025,0.94,0
11/1/2018 9:37,18.3,-0.037,-0.023,0.948,0
11/1/2018 9:37,17.7,-0.039,-0.018,0.952,0
11/1/2018 9:38,17.8,-0.041,-0.016,0.952,0
11/1/2018 9:38,18.1,-0.039,-0.015,0.95,0
11/1/2018 9:38,18.2,0.952,0.009,0.104,4
11/1/2018 9:39,18.4,0.952,0.007,0.1,0
11/1/2018 9:39,18.2,0.951,0.006,0.098,0
11/1/2018 9:40,17.8,0.952,0.009,0.102,0
11/1/2018 9:42,27,0.95,0.01,0.103,0
11/1/2018 9:42,27.6,0.951,0.01,0.101,0
11/1/2018 9:42,40.5,0.951,0.01,0.102,0
11/1/2018 9:43,57.3,0.952,0.01,0.104,0
